address	city	state	latitude	longitude
6925 W 38th St	Indianapolis	IN	39.82327	-86.28091
1550 E Lincoln Way	Sparks	NV	39.53364	-119.71911
1000 Shoppes At Midway Dr	Knightdale	NC	35.79890	-78.50960
1985 Sheridan Blvd	Edgewater	CO	39.74644	-105.05323
8532 Davis Blvd	North Richland Hills	TX	32.90844	-97.19019
3101 Aerial Way	Spring Hill	FL	28.47438	-82.47625
50 E North Ave	Villa Park	IL	41.90680	-87.97740
2673 E Main St	Plainfield	IN	39.71811	-86.35638
6839 S Westnedge Ave	Portage	MI	42.21690	-85.58941
3550 Zafarano Dr	Santa Fe	NM	35.63960	-106.01155
10500 Campus Way S	Upper Marlboro	MD	38.89451	-76.82319
2505 Riverside Blvd	Sacramento	CA	38.56320	-121.49800
4515 E Thomas Rd	Phoenix	AZ	33.48012	-111.98385
200 W Orangethorpe Ave	Fullerton	CA	33.85960	-117.92700
250 E Miracle Strip Pkwy	Mary Esther	FL	30.40974	-86.65949
3040 Evans St	Greenville	NC	35.57966	-77.38129
2530 Weir Rd	Chester	VA	37.35006	-77.40982
52 Third St	Lansdowne	PA	39.93830	-75.26860
9601 Market Pl	Lake Stevens	WA	47.99745	-122.10295
6600 Topanga Canyon Blvd	Canoga Park	CA	34.19113	-118.60590
60 Yorktown Shopping Ctr	Lombard	IL	41.84260	-88.00330
13658 University Plaza St	Tampa	FL	28.07214	-82.42705
8401 S Tamiami Trl	Sarasota	FL	27.22910	-82.49441
70 Princeton Hightstown Rd	East Windsor	NJ	40.27553	-74.54318
2940 Boca Chica Blvd	Brownsville	TX	25.92130	-97.47608
3625 W Gandy Blvd	Tampa	FL	27.89372	-82.50406
67750 E Palm Canyon Dr	Cathedral City	CA	33.78800	-116.48200
2050 Gallatin Pike N	Madison	TN	36.30416	-86.69428
3265 Berlin Tpke	Newington	CT	41.65940	-72.72364
14070 Cedar Rd	Cleveland	OH	41.50136	-81.53134
5188 Kyle Center Dr	Kyle	TX	30.01555	-97.86605
6100 Arlington Blvd	Falls Church	VA	38.86745	-77.14321
521 Glide Ave	West Sacramento	CA	38.58282	-121.54423
4175 Vinewood Ln N	Plymouth	MN	45.03080	-93.44936
1931 N Campus Ave	Upland	CA	34.13319	-117.64100
1441 W 17th St	Santa Ana	CA	33.76152	-117.88729
14920 Raymer St	Van Nuys	CA	34.21251	-118.46122
3000 W Deyoung St	Marion	IL	37.74504	-88.98099
6767 S Clinton St	Greenwood Village	CO	39.59413	-104.88081
2195 Highway 20 SE	Conyers	GA	33.63093	-84.01463
3200 Holcomb Bridge Rd	Norcross	GA	33.94914	-84.23183
5400 N May Ave	Oklahoma City	OK	35.52190	-97.56568
8148 E Santa Ana Canyon Rd	Anaheim	CA	33.86830	-117.75200
4701 N Illinois St	Fairview Heights	IL	38.57205	-89.98484
2070 Thundering Herd Dr	Barboursville	WV	38.42143	-82.28502
2300 W Ben White Blvd	Austin	TX	30.23304	-97.79370
10000 Kleckley Dr	Houston	TX	29.62262	-95.23177
500 W Sunrise Hwy	Valley Stream	NY	40.66452	-73.71841
211 W Iowa Ave	Sunnyvale	CA	37.37324	-122.03340
3970 SW Archer Rd	Gainesville	FL	29.61483	-82.39104
311 Sagamore Pkwy N	Lafayette	IN	40.42016	-86.85802
1330 E 17th St	Santa Ana	CA	33.75980	-117.85200
40 Catherwood Rd	Ithaca	NY	42.48361	-76.48668
9000 E Indian Bend Rd	Scottsdale	AZ	33.53841	-111.88674
912 Airport Center Dr	Allentown	PA	40.65616	-75.42613
30602 Santa Margarita Pkwy	Rancho Santa Margarita	CA	33.64170	-117.59800
5401 Bosque Blvd	Waco	TX	31.53233	-97.19458
2189 W Craig Rd	North Las Vegas	NV	36.23950	-115.17300
13250 Northwest Fwy	Houston	TX	29.84900	-95.50250
2911 Jamacha Rd	El Cajon	CA	32.74044	-116.93930
14391 Chantilly Crossing Ln	Chantilly	VA	38.89740	-77.44496
200 Mill Rd	Schwenksville	PA	40.26845	-75.54406
401 W Irving Park Rd	Wood Dale	IL	41.96700	-87.99290
4037 Durham Chapel Hill Blvd	Durham	NC	35.96980	-78.95663
15880 San Carlos Blvd	Fort Myers	FL	26.50958	-81.94463
30333 Southfield Rd	Southfield	MI	42.51276	-83.22520
2055 W Park Place Blvd	Stone Mountain	GA	33.81788	-84.11926
3601 Highway 100 S	Minneapolis	MN	44.93250	-93.34650
3101 Jefferson Davis Hwy	Alexandria	VA	38.83370	-77.05150
3061 Wildflower Dr	Bryan	TX	30.66569	-96.32332
133 Serramonte Ctr	Daly City	CA	37.66921	-122.46917
2401 Coulee Rd	Hudson	WI	44.96409	-92.72495
3280 R St	Merced	CA	37.32284	-120.48689
1631 Ring Rd	Elizabethtown	KY	37.72957	-85.87946
18305 Alderwood Mall Pkwy	Lynnwood	WA	47.83315	-122.26862
500 Medley Centre Pkwy	Rochester	NY	43.19775	-77.57530
5001 University Town Centre Dr	Morgantown	WV	39.64791	-80.00172
4750 Telephone Rd	Ventura	CA	34.26623	-119.20641
35830 Detroit Rd	Avon	OH	41.45834	-82.01595
3310 S Meridian	Puyallup	WA	47.16130	-122.29310
301 Park Dr	Owatonna	MN	44.08610	-93.24870
27320 W Lugonia Ave	Redlands	CA	34.07031	-117.20841
16400 State Road 54	Odessa	FL	28.18420	-82.55090
4601 2nd St	Davis	CA	38.55417	-121.69891
675 Woodbury Glassboro Rd	Sewell	NJ	39.76491	-75.13096
2980 Fairview Park Dr	Falls Church	VA	38.86819	-77.21500
3600 W Nolana Ave	McAllen	TX	26.24370	-98.25290
7697 Winchester Rd	Memphis	TN	35.04956	-89.80675
2161 Nine Mile Point Rd	Fairport	NY	43.12787	-77.44150
1881 W Lincoln Ave	Anaheim	CA	33.83256	-117.94933
2331 E Lincoln Hwy	Langhorne	PA	40.17657	-74.87815
8550 East Fwy	Fort Worth	TX	32.75942	-97.18210
850 W North Ave	Melrose Park	IL	41.90796	-87.84420
2525 4th St	Eureka	CA	40.80550	-124.14500
240 Market Dr	Elyria	OH	41.38880	-82.10830
1290 Hamner Ave	Norco	CA	33.90070	-117.56400
1708 Dell Range Blvd	Cheyenne	WY	41.16150	-104.80000
8000 Oak Point Rd	Amherst	OH	41.41360	-82.24160
2000 Waters Rd	Ann Arbor	MI	42.24343	-83.77220
4250 Rusty Rd	Saint Louis	MO	38.50973	-90.33996
4616 Highway 280	Birmingham	AL	33.43000	-86.70873
5959 Poplar Ave	Memphis	TN	35.10326	-89.86617
5501 W Old Shakopee Rd	Minneapolis	MN	44.80765	-93.35265
3320 S 23rd St	Tacoma	WA	47.23724	-122.48024
3519 Clemson Blvd	Anderson	SC	34.55126	-82.67742
16818 Twin Lakes Ave	Marysville	WA	48.15140	-122.19100
10600 Firestone Blvd	Norwalk	CA	33.92483	-118.10705
4100 28th St SE	Grand Rapids	MI	42.91250	-85.56177
63435 N Highway 97	Bend	OR	44.10821	-121.29576
1800 W Empire Ave	Burbank	CA	34.18930	-118.33000
3445 Freedom Dr	Springfield	IL	39.74924	-89.70854
13950 NE 178th Pl	Woodinville	WA	47.75884	-122.15035
600 Carnahan Dr	Maumelle	AR	34.85710	-92.39618
8830 Albemarle Rd	Charlotte	NC	35.20925	-80.69631
9882 Adams Ave	Huntington Beach	CA	33.67220	-117.95600
6064 Marsha Sharp Fwy	Lubbock	TX	33.55168	-101.94353
7090 N 5th St	North Las Vegas	NV	36.28928	-115.13309
6000 Highway 6	Missouri City	TX	29.56909	-95.56767
4245 Lankershim Blvd	West Toluca Lake	CA	34.14708	-118.36387
850 Steger Towne Rd	Rockwall	TX	32.89352	-96.46939
26762 Portola Pkwy	Foothill Ranch	CA	33.67852	-117.66400
19514 Old Sumner Buckley Hwy	Bonney Lake	WA	47.17358	-122.16978
695 W Herndon Ave	Clovis	CA	36.83860	-119.72800
2907 Cochran St	Simi Valley	CA	34.27901	-118.74070
3440 W Fm 544	Wylie	TX	33.01119	-96.59286
11150 S Twenty Mile Rd	Parker	CO	39.51250	-104.77200
21400 Northwestern Hwy	Southfield	MI	42.44872	-83.20691
1801 Gulf Fwy	Dickinson	TX	29.46490	-95.08420
1925 Douglas Blvd	Roseville	CA	38.74572	-121.25400
25211 Sunnymead Blvd	Moreno Valley	CA	33.93886	-117.21831
2120 Apalachee Pkwy	Tallahassee	FL	30.43047	-84.24492
94 State Rt 23	Riverdale	NJ	40.99114	-74.32472
401 Easton Rd	Warrington	PA	40.22385	-75.13990
3530 Wolverine Dr	Montrose	CO	38.44343	-107.86858
1925 Marketplace Dr SE	Caledonia	MI	42.84492	-85.61703
2235 Springfield Ave	Vauxhall	NJ	40.71713	-74.28567
449 Howe Ave	Cuyahoga Falls	OH	41.11922	-81.47693
107 Pavilion Pkwy	Fayetteville	GA	33.48000	-84.43670
200 Malcolm Dr	Westminster	MD	39.56710	-76.97264
3699 E Broadway Blvd	Tucson	AZ	32.22167	-110.91464
2305 Theatre Dr	Paso Robles	CA	35.58367	-120.69669
3378 Cobb Pkwy NW	Acworth	GA	34.03909	-84.68381
100 Cherokee Pl	Cartersville	GA	34.17271	-84.78277
5501 S Scatterfield Rd	Anderson	IN	40.05991	-85.65312
40 N 4th Ave	Chula Vista	CA	32.65190	-117.08800
10301 New Guinea Rd	Fairfax	VA	38.79875	-77.29985
3520 Tyler St	Riverside	CA	33.90712	-117.45761
3300 124th Ave NW	Coon Rapids	MN	45.19593	-93.34867
8109 Mall Pkwy	Lithonia	GA	33.69185	-84.09341
1749 E Nine Mile Rd	Pensacola	FL	30.53229	-87.22620
2059 Cadenasso Dr	Fairfield	CA	38.24764	-122.06756
2626 Colorado Blvd	Los Angeles	CA	34.14240	-118.22400
404 S Tracy St	Wichita	KS	37.67921	-97.39390
6250 W Sample Rd	Coral Springs	FL	26.27390	-80.21148
8801 NE Hazel Dell Ave	Vancouver	WA	45.67863	-122.66207
1090 Stafford Market Pl	Stafford	VA	38.46868	-77.40838
2823 Wilma Rudolph Blvd	Clarksville	TN	36.58690	-87.29280
3720 Soldano Blvd	Columbus	OH	39.95540	-83.09990
180 Somerville Ave	Somerville	MA	42.37759	-71.09009
1995 E Market St	Harrisonburg	VA	38.42621	-78.84010
2901 S Cicero Ave	Cicero	IL	41.84031	-87.74180
43670 Ford Rd	Canton	MI	42.32240	-83.47230
1180 Carl D Silver Pkwy	Fredericksburg	VA	38.29870	-77.51060
950 E 33rd St	Signal Hill	CA	33.81700	-118.18100
1401 Johnson Ferry Rd	Marietta	GA	33.98365	-84.42728
10201 Hagen Ranch Rd	Boynton Beach	FL	26.52630	-80.16580
4700 New Harvest Ln	Knoxville	TN	36.03853	-83.88582
1750 Story Rd	San Jose	CA	37.33973	-121.84047
23555 Allen Rd	Woodhaven	MI	42.13681	-83.22598
122 E Interstate 20	Weatherford	TX	32.73004	-97.78399
39201 Fremont Blvd	Fremont	CA	37.54842	-121.98826
1209 N Peachtree Pkwy	Peachtree City	GA	33.44118	-84.59120
333 N 48th St	Lincoln	NE	40.81572	-96.65367
235 Robert C Daniel Jr Pkwy	Augusta	GA	33.49030	-82.07964
6280 N Eagle Rd	Boise	ID	43.66217	-116.35445
5555 Youngstown Warren Rd	Niles	OH	41.21053	-80.75112
4151 E Highway 90	Sierra Vista	AZ	31.55464	-110.25645
6416 Carlisle Pike	Mechanicsburg	PA	40.24669	-77.00741
4380 Lawehana St	Honolulu	HI	21.35588	-157.92863
800 SW 44th St	Oklahoma City	OK	35.41930	-97.52910
7930 Northfield Blvd	Denver	CO	39.78550	-104.89595
155 Holt Garrison Pkwy	Danville	VA	36.60007	-79.41736
4120 Palisades Center Dr	West Nyack	NY	41.09650	-73.95340
2462 Foothill Blvd	La Verne	CA	34.11010	-117.76000
803 Industrial Blvd	Smyrna	TN	35.97938	-86.57038
2161 Monterey Hwy	San Jose	CA	37.30424	-121.86179
2121 N Monroe St	Monroe	MI	41.94514	-83.38468
5001 Holt Ave	Hampton	VA	37.04252	-76.39248
2340 Legge Blvd	Winchester	VA	39.15571	-78.17015
1907 E Victory Dr	Savannah	GA	32.04336	-81.06867
15901 Ford Rd	Dearborn	MI	42.32900	-83.20250
4001 N Midland Dr	Midland	TX	32.02504	-102.14437
2140 S Pokegama Ave	Grand Rapids	MN	47.20905	-93.52873
45155 First Colony Way	California	MD	38.29715	-76.51976
800 Broadview Village Sq	Broadview	IL	41.85329	-87.85185
265 Pond Path	South Setauket	NY	40.88420	-73.10250
8234 Agora Pkwy	Selma	TX	29.57040	-98.32710
8120 University City Blvd	Charlotte	NC	35.29309	-80.74877
11253 Pines Blvd	Pembroke Pines	FL	26.00970	-80.29850
3425 W Frye Rd	Chandler	AZ	33.29768	-111.89981
6371 N Decatur Blvd	Las Vegas	NV	36.27301	-115.20965
21615 S Diamond Lake Rd	Rogers	MN	45.19939	-93.55537
1654 Gadsden Hwy	Birmingham	AL	33.60290	-86.64008
212 Medallion Shp Ctr	Dallas	TX	32.85530	-96.75240
8931 State Route 30	Irwin	PA	40.32100	-79.68690
7003 S Broadway Ave	Tyler	TX	32.27259	-95.30685
8503 S Sam Houston Pkwy E	Houston	TX	29.60082	-95.26613
5537 W Broadway Ave	Minneapolis	MN	45.05329	-93.36467
246 Westminster Dr	Carlisle	PA	40.19687	-77.15905
7845 N MacArthur Blvd	Irving	TX	32.91310	-96.95890
23912 Commercial Dr	Rosenberg	TX	29.54790	-95.75240
2701 Lawndale Dr	Greensboro	NC	36.10338	-79.81915
780 Old Hickory Blvd	Brentwood	TN	36.04300	-86.77790
5065 Main St	Trumbull	CT	41.23493	-73.21863
10500 Ulmerton Rd	Largo	FL	27.89440	-82.78441
700 Nicollet Mall	Minneapolis	MN	44.97587	-93.27308
2950 S Blue Angel Pkwy	Pensacola	FL	30.36029	-87.35847
3600 Mall Rd	Louisville	KY	38.19894	-85.66927
32001 John R Rd	Madison Heights	MI	42.52750	-83.10674
2270 N Bellflower Blvd	Long Beach	CA	33.79800	-118.12500
800 N Frederick Ave	Gaithersburg	MD	39.15443	-77.21483
1440 US Highway 1 S	Saint Augustine	FL	29.87570	-81.32396
10302 156th St E	Puyallup	WA	47.11340	-122.29162
21500 NE Halsey St	Fairview	OR	45.53370	-122.44230
328 Bradford Farms Dr	Madison	AL	34.74822	-86.73263
701 W Broadway Ave	Minneapolis	MN	44.99914	-93.28819
5057 Harvey St	Norton Shores	MI	43.15960	-86.20880
2576 Berryhill Rd	Montgomery	AL	32.36060	-86.15639
4750 Millenia Plaza Way	Orlando	FL	28.49384	-81.42829
1801 W Bay Area Blvd	Webster	TX	29.53755	-95.15292
367 Russell St	Hadley	MA	42.35786	-72.55024
809 Floral St	Opelika	AL	32.65390	-85.39111
15850 S 94th Ave	Orland Park	IL	41.60315	-87.84801
6100 Broadmoor St	Mission	KS	39.01849	-94.66575
6241 Mid Rivers Mall Dr	Saint Peters	MO	38.73997	-90.63404
1740 E Sherman Blvd	Muskegon	MI	43.20531	-86.20167
2000 Bunker Lake Blvd NW	Andover	MN	45.21939	-93.31818
103 Taunton St	Plainville	MA	42.03239	-71.31246
1235 E Higgins Rd	Schaumburg	IL	42.03936	-88.04818
2801 W Market St	Fairlawn	OH	41.12612	-81.60567
2700 Eldridge Pkwy	Houston	TX	29.73292	-95.62662
4103 Pecanland Mall Dr	Monroe	LA	32.49672	-92.06455
503 Interstate 45 N	Conroe	TX	30.97215	-95.88942
6427 Landover Rd	Cheverly	MD	38.93221	-76.90259
2206 Memorial Dr	Alexandria	LA	31.27945	-92.45739
3471 W Century Blvd	Inglewood	CA	33.94548	-118.33222
1628 Highwoods Blvd	Greensboro	NC	36.11302	-79.87851
6601 Grand Ave	Gurnee	IL	42.38548	-87.96633
930 County Road 64	Elmira	NY	42.15400	-76.87090
5001 Junipero Serra Blvd	Colma	CA	37.67360	-122.46500
2185 Bronze Star Dr	Woodland	CA	38.67278	-121.72546
100 Willow Park Ctr	Farmingdale	NY	40.75093	-73.42038
1529 17th Ave E	Shakopee	MN	44.77374	-93.50518
200 Vintage Way	Novato	CA	38.09037	-122.55598
270 Central Pkwy	Heath	OH	40.02945	-82.45003
960 Fairplain Dr	Benton Harbor	MI	42.07991	-86.43448
1850 NW Chipman Rd	Lees Summit	MO	38.92631	-94.41144
135 Creekside Way	New Braunfels	TX	29.73017	-98.07439
187 Brandon Town Center Dr	Brandon	FL	27.93767	-82.32472
3601 N Barr St	Muncie	IN	40.22242	-85.37959
1922 E Main St	Torrington	CT	41.82105	-73.07770
1116 N Apperson Way	Kokomo	IN	40.49617	-86.12689
2420 N Reserve St	Missoula	MT	46.88860	-114.03944
7255 Interstate Dr	Horn Lake	MS	34.96469	-90.00387
11 Andrews Rd	Somersworth	NH	43.23463	-70.88283
1737 Reisterstown Rd	Pikesville	MD	39.38348	-76.73255
6100 Paseo Del Norte NE	Albuquerque	NM	35.17415	-106.58270
5120 28th St SE	Grand Rapids	MI	42.91259	-85.54198
2300 Pleasant Hill Rd	Duluth	GA	33.96256	-84.13748
1370 Highway 15 S	Hutchinson	MN	44.87138	-94.37565
1717 Lebanon Church Rd	Pittsburgh	PA	40.34800	-79.95038
550 Grandview Crossing Dr	Gibsonia	PA	40.64260	-79.94100
333 N Bedford Rd	Mount Kisco	NY	41.21925	-73.71743
372 Cox Creek Pkwy	Florence	AL	34.84013	-87.63664
7400 S Gartrell Rd	Aurora	CO	39.58251	-104.72355
200 Westminster Mall	Westminster	CA	33.74510	-118.01160
12701 Fm 1960 Rd W	Houston	TX	29.92019	-95.60838
2421 Cranberry Hwy	Wareham	MA	41.77296	-70.74629
3027 N 49th St	Lincoln	NE	40.84282	-96.65230
5355 W Loop 1604 N	San Antonio	TX	29.49210	-98.70930
401 Penhorn Ave	Secaucus	NJ	40.76858	-74.05842
1040 NE Coronado	Blue Springs	MO	39.02337	-94.24851
838 Sunrise Hwy	Bay Shore	NY	40.72917	-73.27801
1465 E Mall Dr	Holland	OH	41.61470	-83.69391
1050 Fording Island Rd	Bluffton	SC	32.25698	-80.84992
7601 E Reno Ave	Oklahoma City	OK	35.46408	-97.39082
130 Ramada Dr	East Hanover	NJ	40.81170	-74.38193
2900 S 25th St	Clinton	IA	41.81630	-90.24380
9901 York Rd	Cockeysville	MD	39.46076	-76.63488
3284 Seminole Trl	Charlottesville	VA	38.12427	-78.44448
11220 Ranch Road 2222	Austin	TX	30.39968	-97.85077
1122 W Centerville Rd	Mesquite	TX	32.76410	-96.60690
8500 Menaul Blvd NE	Albuquerque	NM	35.10917	-106.54942
375 18th St NW	Atlanta	GA	33.79167	-84.40108
10711 Gilroy Rd	Hunt Valley	MD	39.47632	-76.66299
6100 Shingle Creek Pkwy	Minneapolis	MN	45.06542	-93.30905
1515 County Rd	Roseville	MN	45.00624	-93.16422
1855 41st Ave	Capitola	CA	36.97632	-121.96500
1 Mystic View Rd	Everett	MA	42.40149	-71.07054
3657 W Genesee St	Syracuse	NY	43.04718	-76.23801
5230 Campbell Blvd	White Marsh	MD	39.39470	-76.42080
1015 N Court St	Medina	OH	41.15511	-81.86485
3050 N Lewis Ave	Waukegan	IL	42.40826	-87.85523
13200 Jamboree Rd	Irvine	CA	33.72716	-117.78793
3207 N Nimitz Hwy	Honolulu	HI	21.33609	-157.90962
1910 Catawba Valley Blvd SE	Hickory	NC	35.70193	-81.30658
701 Industrial Blvd NE	Minneapolis	MN	44.99990	-93.21149
301 S Bryant Ave	Edmond	OK	35.65184	-97.46052
7500 Commons Blvd	Victor	NY	43.03170	-77.44647
26831 S Tamiami Trl	Estero	FL	26.34912	-81.80763
11290 W Broad St	Glen Allen	VA	37.65044	-77.60632
14543 Terrace Ln	Eagle River	AK	61.35233	-149.55395
1655 Owens St	Lakewood	CO	39.74373	-105.12019
12001 East Fwy	Houston	TX	29.77127	-95.22290
21265 Biscayne Blvd	Miami	FL	25.97280	-80.14289
800 Kirkwood Mall	Bismarck	ND	46.80015	-100.78485
1000 State Route 35	Ocean	NJ	40.23569	-74.03797
12275 Saint Charles Rock Rd	Bridgeton	MO	38.75140	-90.42662
2155 Morrill Ave	San Jose	CA	37.41481	-121.87468
12015 E 46th Ave	Denver	CO	39.77966	-104.84748
2017 Humes Rd	Janesville	WI	42.72074	-88.99830
2424 Highway 6	Grand Junction	CO	39.08896	-108.60289
10785 Lincoln Trl	Fairview Heights	IL	38.59294	-89.99264
350 W Lake Mead Pkwy	Henderson	NV	36.03605	-114.99515
550 S Church St	Spartanburg	SC	34.93792	-81.92866
1401 Glade Rd	Colleyville	TX	32.88143	-97.14511
8251 Mira Mesa Blvd	San Diego	CA	32.91262	-117.14587
1100 Brookdale Ctr	Minneapolis	MN	45.05850	-93.31684
2901 Ming Ave	Bakersfield	CA	35.33933	-119.03505
2831 E Eastland Ctr Dr	West Covina	CA	34.07360	-117.88500
5959 Long Cv	Garland	TX	32.96780	-96.63508
11000 Crooked Lake Blvd NW	Minneapolis	MN	45.16981	-93.33994
4510 Garth Rd	Baytown	TX	29.77196	-94.97629
110 N 5th St	Minneapolis	MN	44.98121	-93.27472
235 W Chisholm St	Alpena	MI	45.06392	-83.43535
9716 164th Ave NE	Redmond	WA	47.68573	-122.12096
8223 State Highway 151	San Antonio	TX	29.44311	-98.64940
534 W Madison St	Milwaukee	WI	43.01812	-87.91791
1591 Bradley Park Dr	Columbus	GA	32.53202	-84.97149
209 W Ventura Blvd	Camarillo	CA	34.21608	-119.07337
8900 Highway 7	Minneapolis	MN	44.93590	-93.39390
2205 Walker Lake Rd	Ontario	OH	40.78670	-82.59470
